Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
Garbage Dreams,Mai Iskander,Mai Iskander,Mai Iskander,United States,79,2009-04-03,,,,,,,,,,,,
Sweetgrass,Lucien Castaing-Taylor,Ilisa Barbash,Lucien Castaing- Taylor,United States,101,2009-02-04,Cinema Guild,English,,,,,,,,,,
Daybreakers,The Spierig Brothers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,,98,2009-09-11,"['Lionsgate (United States)', 'Hoyts Distribution', ' (Australia)']",English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",,,20000000.0,51400000.0,Success
Leap Year,Anand Tucker,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,,100,2010-01-06,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,Randy Edelman,"['Spyglass Entertainment', 'BenderSpink']",,,19000000.0,32700000.000000004,Failure
Youth in Revolt,Miguel Arteta,David Permut,Chuy Chávez,United States,89,2009-10-19,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']","['Pamela Martin', 'Andy Keir']",John Swihart,"['Permut', 'Shangri-La Entertainment']","['Youth in Revolt', 'by ', 'C.D. Payne']",,18000000.0,19700000.0,Failure
Bitch Slap,Rick Jacobson,"['Eric Gruendemann', 'Rick Jacobson']",Stuart Asbjornsen,United States,109,2009-09-14,"['Freestyle Releasing', 'IM Global', 'Summit Entertainment']",English,"['Rick Jacobson', 'Eric Gruendemann']","['Julia Voth', 'Erin Cummings', 'America Olivo', 'Ron Melendez', 'William Gregory Lee', 'Minae Noji', 'Michael Hurst']","['Joe McFadden', 'Corey Yaktus']",John R. Graham,Epic Slap,,,,514537.0,
Crazy on the Outside,Tim Allen,"['Brian Reilly', 'Brett Gregory', 'Anastasia Stanecki']",Robbie Greenberg,United States,96,2010-01-08,Freestyle Releasing,English,"['Judd Pillot', 'John Peaslee']","['Tim Allen', 'Sigourney Weaver', 'Jeanne Tripplehorn', 'J. K. Simmons', 'Julie Bowen', 'Kelsey Grammer', 'Ray Liotta']",Scott Conrad,David Newman,Boxing Cat Films,,,,88335.0,
Waiting for Armageddon,"Kate Davis , Franco Sacchi , David Heilbroner","['Franco Sacchi', 'David Heilbroner']",,United States,74,2009-01-28,"['Q-Ball Productions Inc', 'Eureka Film Productions LLC']",English,,,,Gary Lionelli,,,,,,
Wonderful World,Joshua Goldin,"['Miranda Bailey', 'Matthew Leutwyler', 'Glenn Williamson']",Daniel Shulman,United States,89,2009-04-27,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,Craig Richey,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",,,3000000.0,9309.0,Failure
The Book of Eli,The Hughes Brothers,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,United States,118,2010-01-15,"['Warner Bros. Pictures', ' (North America)', 'Summit Entertainment', ' (International)']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Alcon Entertainment', 'Silver Pictures']",,,80000000.0,157100000.0,Failure
