Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Daybreakers,The Spierig Brothers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,,98.0,2009-09-11,"['Lionsgate (United States)', 'Hoyts Distribution', ' (Australia)']",English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",,,20000000.0,51400000.0,Success,2009,U6NmZS9CTKE,
Leap Year,Anand Tucker,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,,100.0,2010-01-06,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,Randy Edelman,"['Spyglass Entertainment', 'BenderSpink']",,,19000000.0,32700000.000000004,Failure,2010,HrlQBsd8LsE,
Youth in Revolt,Miguel Arteta,David Permut,Chuy Chávez,United States,89.0,2009-10-19,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']","['Pamela Martin', 'Andy Keir']",John Swihart,"['Permut', 'Shangri-La Entertainment']","['Youth in Revolt', 'by ', 'C.D. Payne']",,18000000.0,19700000.0,Failure,2009,1gBnVf130uU,
Wonderful World,Joshua Goldin,"['Miranda Bailey', 'Matthew Leutwyler', 'Glenn Williamson']",Daniel Shulman,United States,89.0,2009-04-27,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,Craig Richey,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",,,3000000.0,9309.0,Failure,2009,n2_4asPVgOQ,
The Book of Eli,The Hughes Brothers,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,United States,118.0,2010-01-15,"['Warner Bros. Pictures', ' (North America)', 'Summit Entertainment', ' (International)']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Alcon Entertainment', 'Silver Pictures']",,,80000000.0,157100000.0,Failure,2010,zSMHmtaoXtI,
The Spy Next Door,Brian Levant,Robert Simonds,Dean Cundey,United States,94.0,2009-12-22,"['Lionsgate', ' (United States)', 'Mandate Pictures', ' (International)']",English,"['Jonathan Bernstein', 'James Greer', 'Gregory Poirier']","['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Lawrence Jordan,David Newman,Relativity Media,,"['Jonathan Bernstein', 'James Greer']",28000000.0,45200000.0,Failure,2009,fa2RZf0m39g,
Fish Tank,Andrea Arnold,"['Nick Laws', 'Kees Kasander']",Robbie Ryan,United Kingdom,123.0,2009-05-14,Curzon Artificial Eye,English,Andrea Arnold,"['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths', 'Harry Treadaway', 'Sydney Mary Nash']",Nicolas Chaudeurge,Steel Pulse,"['BBC Films', 'UK Film Council', 'Kasander Film Company', 'Limelight Communication', 'ContentFilm']",,,3000000.0,5900000.0,Failure,2009,_u6pg8fuSB4,
Extraordinary Measures,Tom Vaughan,"['Michael Shamberg', 'Stacey Sher', 'Carla Santos']",Andrew Dunn,United States,106.0,2010-01-22,"['CBS Films', ' (North America)', 'Sony Pictures Releasing International', ' (International)']",English,Robert Nelson Jacobs,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell']",Anne V. Coates,Andrea Guerra,Double Feature Films,"['The Cure: How a Father Raised $100 Million — And Bucked the Medical Establishment — in a Quest to Save His Children', 'by ', 'Geeta Anand']",,31000000.0,15000000.0,Failure,2010,cmnMdwYAhTY,
Legion,Scott Stewart,"['David Lancaster', 'Michel Litvak']",John Lindley,United States,100.0,2010-01-22,Sony Pictures Releasing,English,"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Lucas Black', 'Tyrese Gibson', 'Adrianne Palicki', 'Charles S. Dutton', 'Jon Tenney', 'Kevin Durand', 'Willa Holland', 'Kate Walsh', 'Dennis Quaid']",Steven Kemper,John Frizzell,"['Screen Gems', 'Bold Films']",,,26000000.0,67900000.0,Success,2010,P6p01-in6-k,
Tooth Fairy,Michael Lembeck,"['Mark Ciardi', 'Gordon Gray', 'Jason Blum']",David Tattersall,,101.0,2010-01-22,20th Century Fox,English,"['Lowell Ganz', 'Babaloo Mandel', 'Joshua Sternin', 'Jennifer Ventimilia', 'Randi Mayem Singer']","['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews']",David Finfer,George S. Clinton,"['Walden Media', 'Mayhem Pictures', 'Blumhouse Productions', 'Dune Entertainment']",,Jim Piddock,48000000.0,112500000.0,Success,2010,JqnjK79fGSw,
